3g2	video/3gpp2
3gp	video/3gpp
aac	audio/aac
ai  	application/postscript
aif 	audio/x-aiff
aifc 	audio/x-aiff
aiff 	audio/x-aiff
ape	audio/x-ape
asc 	text/plain
asf	video/x-ms-asf
asx	video/x-ms-asf
atom 	application/atom+xml
au 	audio/basic
avi 	video/avi
bcpio 	application/x-bcpio
bin 	application/octet-stream
bmp 	image/bmp
cdf 	application/x-netcdf
cgm 	image/cgm
class 	application/octet-stream
cpio 	application/x-cpio
cpt 	application/mac-compactpro
csh 	application/x-csh
css 	text/css
dat	video/mpeg
dcr 	application/x-director
dif 	video/x-dv
dir 	application/x-director
divx	video/x-divx
djv 	image/vnd.djvu
djvu 	image/vnd.djvu
dll 	application/octet-stream
dmg 	application/octet-stream
dms 	application/octet-stream
doc 	application/msword
dtd 	application/xml-dtd
dv 	video/x-dv
dvi 	application/x-dvi
dvr-ms	video/x-ms-dvr
dxr 	application/x-director
eps 	application/postscript
epub	application/epub+zip
etx 	text/x-setext
exe 	application/octet-stream
ez 	application/andrew-inset
flac	audio/x-flac
flv	video/x-flv
f4v	video/x-flv
gif 	image/gif
gram 	application/srgs
grxml 	application/srgs+xml
gtar 	application/x-gtar
hdf 	application/x-hdf
hqx 	application/mac-binhex40
htm 	text/html
html 	text/html
ice 	x-conference/x-cooltalk
ico 	image/x-icon
ics 	text/calendar
ief 	image/ief
ifb 	text/calendar
ifo	application/octet-stream
iges 	model/iges
igs 	model/iges
iso	application/octet-stream
jnlp 	application/x-java-jnlp-file
jp2 	image/jp2
jpe 	image/jpeg
jpeg 	image/jpeg
jpg 	image/jpeg
js 	application/x-javascript
kar 	audio/midi
l16	audio/L16
latex 	application/x-latex
lha 	application/octet-stream
lzh 	application/octet-stream
m2t	video/mpeg
m2ts	video/mpeg
m3u 	audio/x-mpegurl
m4a	audio/mp4
m4b	audio/mp4
m4p	audio/mp4
m4u 	video/vnd.mpegurl
m4v 	video/mp4
mac 	image/x-macpaint
man 	application/x-troff-man
mathml 	application/mathml+xml
me 	application/x-troff-me
mesh 	model/mesh
mid 	audio/midi
midi 	audio/midi
mif 	application/vnd.mif
mkv	video/x-matroska
mov 	video/mp4
movie 	video/x-sgi-movie
mp1 	audio/mpeg
mp2 	audio/mpeg
mp3 	audio/mpeg
mp4 	video/mp4
mpe 	video/mpeg
mpeg 	video/mpeg
mpg 	video/mpeg
mpga 	audio/mpeg
ms 	application/x-troff-ms
msh 	model/mesh
mts	video/mpeg
mxu 	video/vnd.mpegurl
nc 	application/x-netcdf
oda 	application/oda
ogg 	application/ogg
ogv	video/ogg
pbm 	image/x-portable-bitmap
pcm 	audio/L16;rate=44100;channels=2
pct 	image/pict
pdb 	chemical/x-pdb
pdf 	application/pdf
pgm 	image/x-portable-graymap
pgn 	application/x-chess-pgn
pic 	image/pict
pict 	image/pict
pls	audio/x-scpls
png 	image/png
pnm 	image/x-portable-anymap
pnt 	image/x-macpaint
pntg 	image/x-macpaint
ppm 	image/x-portable-pixmap
ppt 	application/vnd.ms-powerpoint
ps 	application/postscript
qt 	video/quicktime
qti 	image/x-quicktime
qtif 	image/x-quicktime
ra 	audio/x-pn-realaudio
ram 	audio/x-pn-realaudio
ras 	image/x-cmu-raster
rdf 	application/rdf+xml
rgb 	image/x-rgb
rm 	application/vnd.rn-realmedia
rmvb	application/vnd.rn-realmedia-vbr
roff 	application/x-troff
rtf 	text/rtf
rtx 	text/richtext
sgm 	text/sgml
sgml 	text/sgml
sh 	application/x-sh
shar 	application/x-shar
silo 	model/mesh
sit 	application/x-stuffit
skd 	application/x-koan
skm 	application/x-koan
skp 	application/x-koan
skt 	application/x-koan
smi 	application/smil
smil 	application/smil
snd 	audio/basic
so 	application/octet-stream
spl 	application/x-futuresplash
src 	application/x-wais-source
srt	application/x-srt
sub	application/x-sub
sv4cpio 	application/x-sv4cpio
sv4crc 	application/x-sv4crc
svg 	image/svg+xml
swf 	application/x-shockwave-flash
t 	application/x-troff
tar 	application/x-tar
tcl 	application/x-tcl
tex 	application/x-tex
texi 	application/x-texinfo
texinfo 	application/x-texinfo
tif 	image/tiff
tiff 	image/tiff
tp	video/mpeg
tr 	application/x-troff
trp	video/mpeg
ts	video/mpeg
tsv 	text/tab-separated-values
txt 	text/plain
ustar 	application/x-ustar
vcd 	application/x-cdlink
vob	video/mpeg
vrml 	model/vrml
vxml 	application/voicexml+xml
wav 	audio/wav
webm	video/webm
wbmp 	image/vnd.wap.wbmp
wbmxl 	application/vnd.wap.wbxml
wma	audio/x-ms-wma
wml 	text/vnd.wap.wml
wmlc 	application/vnd.wap.wmlc
wmls 	text/vnd.wap.wmlscript
wmlsc 	application/vnd.wap.wmlscriptc
wmv	video/x-ms-wmv
wmx	video/x-ms-wmx
wpl	application/vnd.ms-wpl
wrl 	model/vrml
xbm 	image/x-xbitmap
xht 	application/xhtml+xml
xhtml 	application/xhtml+xml
xls 	application/vnd.ms-excel
xml 	application/xml
xpm 	image/x-xpixmap
xsl 	application/xml
xslt 	application/xslt+xml
xul 	application/vnd.mozilla.xul+xml
xvid	video/x-divx
xwd 	image/x-xwindowdump
xyz 	chemical/x-xyz
zip 	application/zip
dsf	audio/x-dsf
dff	audio/x-dff
